그룹사,1차 분류,2차 분류,종목명
강원랜드,자유소비재,레저/카지노,강원랜드
LG,필수소비재,화장품,LG생활건강
SK,소재,화학,SKC
영원무역,자유소비재,의류,영원무역
롯데,소재,화학,롯데케미칼
현대그룹,산업재,전력기기,현대엘리베이터
한국가스공사,유틸리티,가스,한국가스공사
금호석유,소재,화학,금호석유화학
OCI,산업재,지주,OCI홀딩스
삼성,산업재,보안서비스,에스원
SK,헬스케어,바이오,SK바이오사이언스
CJ,필수소비재,식품,CJ제일제당
롯데,산업재,지주,롯데지주
한솔,소재,화학,한솔케미칼
신세계,자유소비재,유통,신세계
영원무역,산업재,지주,영원무역홀딩스
롯데,자유소비재,유통,롯데쇼핑
대웅,헬스케어,바이오,한올바이오파마
한국전력,산업재,전력기기,한전KPS
SL,자유소비재,자동차부품,에스엘
현대해상,금융,보험,현대해상
이수,소재,배터리,이수스페셜티케미컬
하림,산업재,물류운송,팬오션
iM금융,금융,은행,iM금융지주
동서,필수소비재,식품,동서
신세계,필수소비재,유통,이마트
풍산,산업재,방산,풍산
씨에스윈드,산업재,전력기기,씨에스윈드
HD현대,산업재,조선,HD현대마린엔진
한국앤컴퍼니,산업재,지주,한국앤컴퍼니
한미,산업재,지주,한미사이언스
CJ,산업재,물류운송,CJ대한통운
HL,자유소비재,자동차부품,HL만도
세아,소재,철강,세아베스틸지주
한국카본,소재,소재,한국카본
GS,산업재,건설,GS건설
삼성,커뮤니케이션서비스,광고,제일기획
F&F,자유소비재,의류,F&F
DL,산업재,건설,DL이앤씨
DN,자유소비재,자동차부품,DN오토모티브
농심,필수소비재,식품,농심
미스토,산업재,지주,미스토홀딩스
현대차,자유소비재,자동차부품,현대위아
코스맥스,필수소비재,화장품,코스맥스
아모레퍼시픽,산업재,지주,아모레퍼시픽홀딩스
BGF,필수소비재,유통,BGF리테일
코오롱,소재,화학,코오롱인더
현대백화점,자유소비재,유통,현대백화점
한국콜마,필수소비재,화장품,한국콜마
더블스타,자유소비재,자동차,금호타이어
대웅,헬스케어,바이오,대웅제약
SK,소재,배터리,SK아이이테크놀로지
동원,필수소비재,식품,동원산업
GS,필수소비재,유통,GS리테일
효성,소재,화학,효성티앤씨
삼성,자유소비재,면세점/호텔,호텔신라
GC,헬스케어,바이오,녹십자
파라다이스,자유소비재,레저/카지노,파라다이스
오리온,산업재,지주,오리온홀딩스
오뚜기,필수소비재,식품,오뚜기
대웅,산업재,지주,대웅
태광,소재,화학,태광산업
롯데,소재,화학,롯데정밀화학
한일,소재,건자재/화학,한일시멘트
종근당,헬스케어,바이오,종근당
DL,산업재,지주,DL
하이트진로,필수소비재,음료/주류,하이트진로
영풍,소재,금속소재,영풍
롯데,필수소비재,음료/주류,롯데칠성
지역난방공사,유틸리티,전력,지역난방공사
더블유게임즈,커뮤니케이션서비스,게임,더블유게임즈
롯데,필수소비재,식품,롯데웰푸드
한샘,자유소비재,가구,한샘
효성,소재,화학,HS효성첨단소재
SK,헬스케어,바이오,SK케미칼
에스디바이오센서,헬스케어,바이오,에스디바이오센서
대한유화,소재,화학,대한유화
세방,산업재,배터리,세방전지
세아,산업재,지주,세아제강지주
후성,소재,화학,후성
태광,소재,화학,TKG휴켐스
동원,소재,화학,동원시스템즈
GKL,자유소비재,레저/카지노,GKL
대상,필수소비재,식품,대상
GC,산업재,지주,녹십자홀딩스
미원,소재,화학,미원에스씨
미원,소재,화학,미원상사
농심,소재,화학,율촌화학
아세아,산업재,지주,아세아
코스모,소재,배터리,코스모화학
